# Non-Graphitized carbon black (NGCB), N2, 77.4 K
# K. Nakai et al., DOI:10.1016/j.jcis.2010.08.005
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 6.96 [cm3(STP)/g], V(theta=1)=4.34 [cm3(STP)/g], S(BET) = 18.9 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 18.9/6.96 = slope[cm3(STP)/g] * 2.715517
# [pyGASP] BET surface area: a = 19 m2/g, The BET constant is: C = 138, Amount for a monolayer: n = 0.00019 mol/g
#   Amount for a monolayer: n = 0.00019 / (1/1000/22.414) = 0.00019 / 4.461e-5 = 4.25913472 [cm3(STP)/g]
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2), V[cm3(STP)/g], t[nm]
0.64, 1.34, 22, 9.3264, 775.1681543
0.66, 1.36, 22.5, 9.4656, 786.7378283
0.68, 1.4, 23.1, 9.744, 809.8771762
0.7, 1.45, 23.9, 10.092, 838.801361
0.72, 1.49, 24.6, 10.3704, 861.9407089
0.74, 1.54, 25.3, 10.7184, 890.8648938
0.76, 1.59, 26.2, 11.0664, 919.7890787
0.78, 1.65, 27.2, 11.484, 954.4981005
0.8, 1.71, 28.1, 11.9016, 989.2071223
0.82, 1.78, 29.3, 12.3888, 1029.700981
0.84, 1.87, 30.7, 13.0152, 1081.764514
0.85, 1.91, 31.4, 13.2936, 1104.903862
0.86, 1.97, 32.4, 13.7112, 1139.612884
0.87, 2.04, 33.6, 14.1984, 1180.106742
0.88, 2.11, 34.8, 14.6856, 1220.600601
0.9, 2.27, 37.4, 15.7992, 1313.157993
